Latitude_Min,Latitude_Max,Longitude_Min,Longitude_Max,Average_Fe_Si_Ratio
-60.321516900247616,-59.90931574608439,2.8415331195814417,3.6688703735161994,0.08889731672034187
-60.321516900247616,-59.90931574608439,3.6688703735161994,4.496207627450957,0.08889731672034187
-59.90931574608439,-59.49711459192116,-43.53948274461274,-42.7223538987721,0.044701501782427495
-59.90931574608439,-59.49711459192116,-42.7223538987721,-41.905225052931456,0.044701501782427495
-59.90931574608439,-59.49711459192116,-41.905225052931456,-41.088096207090814,0.044701501782427495
-59.90931574608439,-59.49711459192116,1.402603776622584,2.2197326224632263,0.08889731672034187
-59.90931574608439,-59.49711459192116,2.2197326224632263,3.0368614683038686,0.08889731672034187
-59.90931574608439,-59.49711459192116,3.0368614683038686,3.853990314144511,0.08889731672034187
-59.90931574608439,-59.49711459192116,3.853990314144511,4.671119159985153,0.08889731672034187
-59.49711459192116,-59.08491343775793,-43.581415786801415,-42.77420522932687,0.044701501782427495
-59.49711459192116,-59.08491343775793,-42.77420522932687,-41.96699467185232,0.044701501782427495
-59.49711459192116,-59.08491343775793,-41.96699467185232,-41.15978411437777,0.044701501782427495
-59.49711459192116,-59.08491343775793,1.6223754317732642,2.429585989247812,0.08889731672034187
-59.49711459192116,-59.08491343775793,2.429585989247812,3.23679654672236,0.08889731672034187
-59.49711459192116,-59.08491343775793,3.23679654672236,4.044007104196908,0.08889731672034187
-59.08491343775793,-58.672712283594706,-43.615368830990604,-42.81779788848178,0.044701501782427495
-59.08491343775793,-58.672712283594706,-42.81779788848178,-42.02022694597295,0.044701501782427495
-59.08491343775793,-58.672712283594706,-42.02022694597295,-41.222656003464124,0.044701501782427495
-59.08491343775793,-58.672712283594706,1.8461748920125274,2.6437458345213543,0.08889731672034187
-59.08491343775793,-58.672712283594706,2.6437458345213543,3.441316777030181,0.08889731672034187
